iso3,deport_convict_mn,homrates_pc_unodc_mn,deport_total_mn
AFG,0.02302624,3.963333333,17.33333333
ALB,1.123266184,3.91,184.0909091
ARE,0,0.58,4
ARM,1.126655158,2.483,84.3
ATG,30.10010082,11.49111111,36.66666667
AUS,0.083421026,1.214615385,55.69230769
AUT,0.055177119,0.679,14
AZE,0,2.16,7
BEL,0.061195101,1.983333333,19.41666667
BFA,0.022913317,0.66875,11.375
BGD,0.013870377,2.683846154,102.1538462
BGR,0.217598127,2.196923077,62.61538462
BHR,0,0.39,3
BHS,27.67349235,22.217,122.6
BIH,1.399378722,1.471428571,59.14285714
BLR,0.099195028,5.617272727,23.72727273
BLZ,39.70686188,35.47333333,205.8333333
BMU,9.883708668,7.221,9.7
BOL,0.670076527,9.0725,269
BRA,0.196282471,24.69777778,2711.777778
BRB,13.25112505,9.681538462,43.61538462
BRN,0,0.86,0
BWA,0,17.23,0
CAN,1.192565012,1.736923077,1146.076923
CHE,0.068539086,0.787777778,14.55555556
CHL,0.401958795,3.418181818,177.9090909
CHN,0.011776015,1.2025,975.0833333
CMR,0.075045731,4.2475,50.875
COL,2.527161009,35.48230769,2206.615385
CPV,4.477539255,9.02375,31.125
CRI,2.463646409,9.450769231,516.9230769
CUB,0.448154272,5.172222222,202.8888889
CZE,0.115707765,0.966,43.4
DEU,0.07779459,0.95,144.9230769
DMA,27.71155921,12.08555556,34.66666667
DNK,0.06682185,0.884444444,16.22222222
DOM,22.38114816,23.24909091,3123.363636
DZA,0.023999909,1.106,29.2
ECU,3.457015049,15.1275,1677.333333
EGY,0.050287875,1.245555556,181.1111111
ESP,0.07312507,0.934615385,98.92307692
EST,0.469458707,5.445,19.25
FIN,0.031019223,2.055,8
FJI,2.700971289,2.886,52.6
FRA,0.051928566,1.439230769,125.3076923
GBR,0.308654684,1.265833333,408.9166667
GEO,0.396103725,6.115555556,51.11111111
GHA,0.299296998,1.878888889,225.2222222
GRC,0.160527015,1.232307692,36.53846154
GRD,17.86519408,9.1225,28.83333333
GTM,53.14398628,38.21181818,29096.45455
GUY,23.44727816,19.25833333,261.0833333
HKG,0.123612262,0.503846154,21.76923077
HND,97.27210571,67.61307692,24710.76923
HRV,0.159850532,1.400909091,16.81818182
HTI,3.962035506,7.018333333,952.5
HUN,0.174300055,1.625,87.91666667
IDN,0.012466784,0.576666667,282.4444444
IND,0.012044397,3.483333333,774
IRL,0.424476301,1.132307692,65.07692308
IRQ,0.053592974,10.99571429,33.28571429
ISR,0.657731576,2.080833333,226
ITA,0.105085164,0.982307692,146.9230769
JAM,42.46873916,49.26461538,1559.153846
JOR,0.857478322,1.867777778,155.7777778
JPN,0.013238459,0.426666667,59
KAZ,0.035107735,9.4325,23.41666667
KEN,0.133547892,5.049166667,124.5
KGZ,0.045569692,9.8925,8.75
KHM,0.240069122,2.997777778,50.33333333
KNA,31.03722216,38.52,21.625
KOR,0.29426937,0.7825,306.75
KWT,0.031337638,1.83,7.25
LBN,0.675174559,3.99625,88.875
LBR,0.609977302,3.646666667,43.16666667
LCA,10.72701915,22.61888889,37.77777778
LKA,0.043435633,6.189090909,121.8181818
LTU,0.525481593,7.865,55
LVA,0.456663323,4.700833333,28.08333333
MAC,0,2.88,0
MAR,0.112802265,1.4225,80.33333333
MDA,0.321276819,5.822727273,33.90909091
MEX,87.73006025,14.61461538,237887.0769
MKD,0.44042962,1.787777778,37.11111111
MMR,0.005517798,1.613333333,13.66666667
MNE,0.543539807,2.81125,6.25
MNG,0.425539854,9.232727273,44.09090909
MOZ,0,5.24,0
MWI,0.013585557,2.72,6.5
MYS,0.056952251,2.175,70.5
NIC,9.899229399,12.921,1685.8
NLD,0.220027631,0.897692308,76.61538462
NOR,0.085614367,0.77,13.125
NPL,0.03329626,2.989090909,43.45454545
NZL,0.296596631,1.12,36.75
PAK,0.058838286,7.058,461.9
PAN,2.704881979,15.31230769,158.7692308
PER,1.126371394,8.204615385,994
PHL,0.324990681,8.0375,653
PNG,0,10.51,0
POL,0.308715164,1.186153846,389.1538462
PRT,0.696467876,1.256923077,125
PRY,0.100537749,13.1375,35.41666667
ROU,0.268624061,1.968461538,167.4615385
RUS,0.048048953,13.535,160
RWA,0.015450905,4.5,5.5
SGP,0.153461129,0.415,19.8
SLE,0.260981771,2.516666667,40.77777778
SLV,98.92079921,60.96692308,16803.46154
SRB,0.03469305,1.546666667,4.666666667
SVK,0.136001369,1.606666667,34.83333333
SVN,0.063220849,0.824285714,7.428571429
SWE,0.102393956,0.966153846,32.46153846
SWZ,0,13.24,0
SYR,0.078312,2.42625,53.5
THA,0.032361109,5.856923077,81.61538462
TJK,0.073235974,1.5825,17
TON,27.92972402,3.631,38
TTO,16.64304129,29.79692308,341.7692308
TUN,0.085598424,2.5575,29.25
TUR,0.043976669,4.581,153.4
TZA,0.023768292,7.938333333,24
UGA,0.024931605,9.680833333,25.16666667
UKR,0.102193316,5.98875,183.125
URY,1.140495049,6.641538462,132.3076923
USA,0,5.68,0
VCT,17.89605639,20.916,28.7
VEN,0.417944364,48.12,357.4166667
VNM,0.017579471,1.343333333,35.44444444
YEM,0.06251215,4.669090909,47.36363636
ZAF,0.041033073,35.09846154,54
ZWE,0.054067695,8.598333333,24